15.50,105.00,1.60,6
16.00,110.00,1.70,12
16.50,115.00,1.80,18
17.00,120.00,1.90,24
17.50,125.00,1.50,30
18.00,130.00,1.60,36
18.50,135.00,1.70,42
19.00,140.00,1.80,48
19.50,145.00,1.90,54
15.00,150.00,1.50,60
15.50,155.00,1.60,66
16.00,160.00,1.70,72
16.50,165.00,1.80,78
17.00,170.00,1.90,84
17.50,175.00,1.50,90
18.00,180.00,1.60,96
18.50,185.00,1.70,102
19.00,190.00,1.80,108
19.50,195.00,1.90,114
15.00,100.00,1.50,120
15.50,105.00,1.60,126
16.00,110.00,1.70,132
16.50,115.00,1.80,138
17.00,120.00,1.90,144
17.50,125.00,1.50,150
18.00,130.00,1.60,156
18.50,135.00,1.70,162
19.00,140.00,1.80,168
19.50,145.00,1.90,174
15.00,150.00,1.50,180
15.50,155.00,1.60,186
16.00,160.00,1.70,192
16.50,165.00,1.80,198
17.00,170.00,1.90,204
17.50,175.00,1.50,210
18.00,180.00,1.60,216
18.50,185.00,1.70,222
19.00,190.00,1.80,228
19.50,195.00,1.90,234
15.00,100.00,1.50,240
15.50,105.00,1.60,246
16.00,110.00,1.70,252
16.50,115.00,1.80,258
17.00,120.00,1.90,264
17.50,125.00,1.50,270
18.00,130.00,1.60,276
18.50,135.00,1.70,282
19.00,140.00,1.80,288
19.50,145.00,1.90,294
15.00,150.00,1.50,300
15.50,155.00,1.60,306
16.00,160.00,1.70,312
16.50,165.00,1.80,318
17.00,170.00,1.90,324
17.50,175.00,1.50,330
18.00,180.00,1.60,336
18.50,185.00,1.70,342
19.00,190.00,1.80,348
19.50,195.00,1.90,354
15.00,100.00,1.50,360
15.50,105.00,1.60,366
16.00,110.00,1.70,372
16.50,115.00,1.80,378
17.00,120.00,1.90,384
17.50,125.00,1.50,390
18.00,130.00,1.60,396
18.50,135.00,1.70,402
19.00,140.00,1.80,408
19.50,145.00,1.90,414
15.00,150.00,1.50,420
15.50,155.00,1.60,426
16.00,160.00,1.70,432
16.50,165.00,1.80,438
17.00,170.00,1.90,444
17.50,175.00,1.50,450
18.00,180.00,1.60,456
18.50,185.00,1.70,462
19.00,190.00,1.80,468
19.50,195.00,1.90,474
15.00,100.00,1.50,480
15.50,105.00,1.60,486
16.00,110.00,1.70,492
16.50,115.00,1.80,498
17.00,120.00,1.90,504
17.50,125.00,1.50,510
18.00,130.00,1.60,516
18.50,135.00,1.70,522
19.00,140.00,1.80,528
19.50,145.00,1.90,534
15.00,150.00,1.50,540
15.50,155.00,1.60,546
16.00,160.00,1.70,552
16.50,165.00,1.80,558
17.00,170.00,1.90,564
17.50,175.00,1.50,570
18.00,180.00,1.60,576
18.50,185.00,1.70,582
19.00,190.00,1.80,588
19.50,195.00,1.90,594
15.00,100.00,1.50,600
15.50,105.00,1.60,606
16.00,110.00,1.70,612
16.50,115.00,1.80,618
17.00,120.00,1.90,624
17.50,125.00,1.50,630
18.00,130.00,1.60,636
18.50,135.00,1.70,642
19.00,140.00,1.80,648
19.50,145.00,1.90,654
15.00,150.00,1.50,660
15.50,155.00,1.60,666
16.00,160.00,1.70,672
16.50,165.00,1.80,678
17.00,170.00,1.90,684
17.50,175.00,1.50,690
18.00,180.00,1.60,696
18.50,185.00,1.70,702
19.00,190.00,1.80,708
19.50,195.00,1.90,714
15.00,100.00,1.50,720
15.50,105.00,1.60,726
16.00,110.00,1.70,732
16.50,115.00,1.80,738
17.00,120.00,1.90,744
17.50,125.00,1.50,750
18.00,130.00,1.60,756
